,20000101,20000201,20000301,20000401,20000501,20000601,20000701,20000801,20000901,20001001,20001101,20001201,20010101,20010201,20010301,20010401,20010501,20010601,20010701,20010801,20010901,20011001,20011101,20011201,20020101,20020201,20020301,20020401,20020501,20020601,20020701,20020801,20020901,20021001,20021101,20021201,20030101,20030201,20030301,20030401,20030501,20030601,20030701,20030801,20030901,20031001,20031101,20031201,20040101,20040201,20040301,20040401,20040501,20040601,20040701,20040801,20040901,20041001,20041101,20041201,20050101,20050201,20050301,20050401,20050501,20050601,20050701,20050801,20050901,20051001,20051101,20051201,20060101,20060201,20060301,20060401,20060501,20060601,20060701,20060801,20060901,20061001,20061101,20061201,20070101,20070201,20070301,20070401,20070501,20070601,20070701,20070801,20070901,20071001,20071101,20071201,20080101,20080201,20080301,20080401,20080501,20080601,20080701,20080801,20080901,20081001,20081101,20081201,20090101,20090201,20090301,20090401,20090501,20090601,20090701,20090801,20090901,20091001,20091101,20091201,20100101,20100201,20100301,20100401,20100501,20100601,20100701,20100801,20100901,20101001,20101101,20101201,20110101,20110201,20110301,20110401,20110501,20110601,20110701,20110801,20110901,20111001,20111101,20111201,20120101,20120201,20120301,20120401,20120501,20120601,20120701,20120801,20120901,20121001,20121101,20121201,20130101,20130201,20130301,20130401,20130501,20130601,20130701,20130801,20130901,20131001,20131101,20131201,20140101,20140201,20140301,20140401,20140501,20140601,20140701,20140801,20140901,20141001,20141101,20141201,20150101,20150201,20150301,20150401,20150501,20150601,20150701,20150801,20150901,20151001,20151101,20151201,20160101,20160201,20160301,20160401,20160501,20160601,20160701,20160801,20160901,20161001,20161101,20161201,20170101,20170201,20170301,20170401,20170501,20170601,20170701,20170801,20170901,20171001,20171101,20171201,20180101,20180201,20180301,20180401,20180501,20180601,20180701,20180801,20180901,20181001,20181101,20181201,20190101,20190201,20190301,20190401,20190501,20190601,20190701,20190801,20190901,20191001,20191101,20191201,20200101,20200201,20200301,20200401,20200501,20200601,20200701,20200801,20200901,20201001,20201101,20201201
Canada,640505.0,676644.0,784825.0,825994.0,860298.0,970522.0,1054997.0,1011993.0,957542.0,844802.0,889285.0,1589726.0,678540.0,711968.0,861201.0,837431.0,961605.0,1065334.0,1101483.0,1172448.0,979219.0,909109.0,1013917.0,1600273.0,770512.0,780971.0,948078.0,851734.0,1045982.0,1108275.0,1198991.0,1284169.0,1004013.0,989730.0,1092942.0,1621256.0,843020.0,817286.0,904422.0,941787.0,1120298.0,1103545.0,1262517.0,1328136.0,1039964.0,1078337.0,1115904.0,1738529.0,899753.0,867151.0,975563.0,1036310.0,1163263.0,1162259.0,1430899.0,1222332.0,1154784.0,1182120.0,1082357.0,1619010.0,831055.0,880916.0,1047212.0,1074036.0,1154329.0,1258070.0,1477366.0,1292614.0,1201151.0,1157967.0,1140953.0,1849857.0,858726.0,927760.0,1116182.0,1136847.0,1223823.0,1351703.0,1462983.0,1392196.0,1310733.0,1179425.0,1246716.0,1935654.0,936080.0,989373.0,1224026.0,1189503.0,1350780.0,1524274.0,1490885.0,1568307.0,1371479.0,1267750.0,1388024.0,1936693.0,1039460.0,1120481.0,1238143.0,1224213.0,1531245.0,1487157.0,1638997.0,1673550.0,1343485.0,1429173.0,1434841.0,1903994.0,1159457.0,1110341.0,1234606.0,1314536.0,1583740.0,1558368.0,1770634.0,1629990.0,1432064.0,1489209.0,1364672.0,1972088.0,1182091.0,1178434.0,1288298.0,1408994.0,1526343.0,1564005.0,1900637.0,1591760.0,1496588.0,1540845.0,1451674.0,2125430.0,1147526.0,1187548.0,1319910.0,1477450.0,1492309.0,1643254.0,1885300.0,1630728.0,1607117.0,1514213.0,1482773.0,2311852.0,1106116.0,1239021.0,1478627.0,1407519.0,1633772.0,1817373.0,1770311.0,1813779.0,1597239.0,1501847.0,1637386.0,2172812.0,1221383.0,1252626.0,1528694.0,1380141.0,1783793.0,1737008.0,1796789.0,1956928.0,1585427.0,1596557.0,1690799.0,2100878.0,1291046.0,1283400.0,1437534.0,1550368.0,1801758.0,1804366.0,1950994.0,1921169.0,1635315.0,1690158.0,1687035.0,2277624.0,1340847.0,1331137.0,1512743.0,1587892.0,1860015.0,1860777.0,2138494.0,2047894.0,1781464.0,1801540.0,1704921.0,2402108.0,1379885.0,1452444.0,1666184.0,1687200.0,1895025.0,2011993.0,2177616.0,2005938.0,1844261.0,1794353.0,1815184.0,2604902.0,1326493.0,1447389.0,1669542.0,1683501.0,1949176.0,2139493.0,2229883.0,2129973.0,1936343.0,1805296.0,1862535.0,2657107.0,1419582.0,1470347.0,1832808.0,1650879.0,2079141.0,2239279.0,2208467.0,2383370.0,1904117.0,1912616.0,1991186.0,2600921.0,1493717.0,1512503.0,1791095.0,1820047.0,2174573.0,2212675.0,2305863.0,2407024.0,1928228.0,1968146.0,2048391.0,2611568.0,1604299.0,1638465.0,1956963.0,1911359.0,2237936.0,2388082.0,2640126.0,2392769.0,2169097.0,2175842.0,2136944.0,2782322.0
Newfounlan and Labraor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prince Ewar Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Brunswick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quebec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134967.0,129425.0,161094.0,143113.0,172567.0,158168.0,193519.0,164395.0,178470.0,195462.0,173002.0,217122.0,104951.0,137796.0,178699.0,157339.0,167755.0,180726.0,193680.0,175321.0,178919.0,199608.0,195695.0,330854.0,125968.0,142861.0,177060.0,167886.0,177127.0,193182.0,200400.0,187471.0,189905.0,197189.0,222505.0,336283.0,142603.0,151719.0,189953.0,180571.0,196748.0,219404.0,204961.0,219910.0,203466.0,209591.0,243060.0,331640.0,157232.0,181149.0,185068.0,179857.0,228342.0,214332.0,227122.0,234484.0,206047.0,226034.0,251152.0,342166.0,174575.0,179989.0,184413.0,208065.0,238645.0,228448.0,245733.0,216260.0,226058.0,255731.0,243954.0,342988.0,185058.0,200030.0,198511.0,230663.0,238133.0,245308.0,269690.0,228475.0,239538.0,253919.0,264464.0,384290.0,184316.0,195256.0,204240.0,244193.0,221303.0,244290.0,265923.0,228282.0,247202.0,254916.0,277054.0,436961.0,177228.0,206258.0,228136.0,229524.0,248391.0,284774.0,248205.0,269086.0,252402.0,257103.0,317755.0,379878.0,202844.0,214740.0,249658.0,221108.0,271824.0,283210.0,259676.0,292070.0,250483.0,270932.0,313916.0,383896.0,214207.0,211917.0,234638.0,262196.0,278454.0,277491.0,274178.0,266402.0,264459.0,273120.0,315683.0,405123.0,220830.0,222758.0,232353.0,256900.0,277398.0,280230.0,366611.0,298265.0,266605.0,291225.0,300502.0,419163.0,222072.0,234245.0,255057.0,262931.0,285782.0,297821.0,310100.0,277949.0,275865.0,289562.0,317746.0,471672.0,201141.0,223862.0,226188.0,257548.0,278034.0,313396.0,307603.0,288771.0,281649.0,278851.0,323835.0,476214.0,225982.0,222147.0,284356.0,254235.0,305738.0,342666.0,295551.0,321618.0,282029.0,302621.0,353283.0,440903.0,232077.0,244712.0,269450.0,272137.0,324348.0,323315.0,324234.0,352711.0,291817.0,318551.0,373806.0,452524.0,257283.0,265094.0,307155.0,273430.0,316028.0,327380.0,371343.0,350900.0,355511.0,343082.0,375961.0,464565.0
Ontario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403940.0,376812.0,410011.0,449952.0,517521.0,505388.0,637308.0,543666.0,523739.0,515195.0,478584.0,731365.0,380640.0,378652.0,431138.0,463780.0,504234.0,550619.0,662637.0,569080.0,526070.0,481175.0,483086.0,785376.0,369743.0,388774.0,464486.0,473900.0,508395.0,574445.0,621508.0,585093.0,554102.0,477533.0,507240.0,808751.0,384322.0,400306.0,495050.0,473231.0,566828.0,642853.0,602823.0,655564.0,573412.0,497552.0,560823.0,773805.0,420423.0,442959.0,484613.0,492287.0,609974.0,592612.0,654321.0,681272.0,548810.0,554036.0,569960.0,739316.0,454979.0,430258.0,475487.0,509697.0,618809.0,603169.0,682453.0,650597.0,561173.0,559092.0,527472.0,754694.0,469171.0,434103.0,493150.0,534624.0,604910.0,609338.0,758767.0,636827.0,597028.0,595177.0,560241.0,837270.0,459646.0,462684.0,520432.0,575625.0,582610.0,637145.0,774217.0,648244.0,636727.0,582079.0,570811.0,903878.0,435926.0,485703.0,588125.0,545700.0,659613.0,738220.0,707636.0,726280.0,636520.0,576981.0,646379.0,822163.0,493725.0,483912.0,612538.0,538716.0,748652.0,678799.0,713032.0,786716.0,636230.0,607898.0,657455.0,822726.0,509670.0,491809.0,554148.0,594373.0,720177.0,709642.0,774336.0,773990.0,650870.0,646729.0,648211.0,895935.0,528155.0,501439.0,578639.0,619799.0,745585.0,733178.0,828674.0,799885.0,704360.0,682385.0,663184.0,954925.0,541137.0,553244.0,633214.0,652672.0,744985.0,801251.0,870815.0,789725.0,743336.0,684572.0,697909.0,1041486.0,522753.0,555204.0,654827.0,678297.0,754087.0,831908.0,897393.0,820110.0,786025.0,685086.0,713933.0,1037943.0,560991.0,566626.0,713981.0,624736.0,814301.0,872667.0,879327.0,990018.0,775117.0,714091.0,773326.0,994164.0,583129.0,581894.0,675973.0,695925.0,835496.0,862586.0,936995.0,946683.0,774112.0,745363.0,791146.0,1010793.0,619665.0,623960.0,728247.0,717843.0,844952.0,923645.0,1022121.0,894531.0,811412.0,792771.0,808359.0,1045726.0
Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28453.0,33773.0,35794.0,39139.0,44589.0,48259.0,51549.0,45697.0,40006.0,41850.0,41926.0,58516.0,30586.0,32287.0,38165.0,40402.0,41876.0,49853.0,50101.0,47438.0,41096.0,42345.0,42212.0,61501.0,33309.0,33395.0,38862.0,42645.0,47935.0,52156.0,53381.0,50791.0,44066.0,44745.0,44395.0,65943.0,34310.0,35277.0,42248.0,45830.0,50386.0,56428.0,58249.0,53914.0,45568.0,47799.0,46663.0,68401.0,36831.0,39020.0,44201.0,47455.0,53540.0,60061.0,60846.0,57674.0,48685.0,50854.0,51769.0,71013.0,38569.0,40576.0,46859.0,49785.0,56681.0,63333.0,65353.0,58762.0,54506.0,52254.0,51227.0,73134.0,39737.0,41669.0,49863.0,51146.0,58300.0,61773.0,64574.0,60227.0,49997.0,54251.0,53372.0,72934.0,38941.0,43778.0,48072.0,52823.0,59233.0,64787.0,66661.0,62958.0,54580.0,54807.0,54082.0,76544.0,43076.0,46832.0,52053.0,53684.0,60970.0,70281.0,71180.0,66614.0,55583.0,57827.0,55854.0,80516.0,43628.0,47549.0,55650.0,53703.0,63279.0,72228.0,71350.0,71634.0,58043.0,60014.0,58854.0,81237.0,45470.0,47699.0,54069.0,57762.0,66691.0,72044.0,72904.0,71810.0,59981.0,63892.0,64293.0,82948.0,46052.0,49060.0,57875.0,60753.0,69223.0,76205.0,77172.0,70406.0,63775.0,64476.0,63802.0,88043.0,48652.0,50912.0,60102.0,59443.0,70872.0,78159.0,75509.0,72961.0,63271.0,64736.0,70907.0,86532.0,50255.0,52315.0,58333.0,63495.0,72668.0,81085.0,78159.0,78728.0,64838.0,65621.0,64797.0,89953.0,50143.0,51960.0,63780.0,63381.0,74968.0,80849.0,79673.0,79283.0,62144.0,67247.0,69484.0,92984.0,50180.0,50730.0,61065.0,64499.0,76887.0,81609.0,82570.0,79832.0,60935.0,65968.0,65089.0,89136.0,49972.0,54552.0,67001.0,66916.0,72850.0,94258.0,96654.0,85801.0,73113.0,72369.0,67296.0,92746.0
Saskatchewan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27022.0,25638.0,26137.0,33604.0,33230.0,34156.0,46124.0,42010.0,32026.0,34778.0,31672.0,47555.0,25510.0,26431.0,32502.0,32980.0,35080.0,37599.0,49616.0,40256.0,34126.0,33176.0,32467.0,52730.0,25687.0,26774.0,32947.0,35160.0,36842.0,40671.0,48252.0,43379.0,39905.0,32882.0,37255.0,51901.0,28673.0,29519.0,37788.0,36445.0,41385.0,46559.0,50826.0,49328.0,40293.0,37218.0,42436.0,54501.0,32552.0,33249.0,39137.0,37061.0,49055.0,45713.0,55738.0,54975.0,42064.0,42405.0,42476.0,54200.0,37902.0,34351.0,40200.0,40939.0,49451.0,49718.0,59949.0,56953.0,44232.0,44419.0,41532.0,58472.0,29374.0,35070.0,43604.0,42117.0,46581.0,48443.0,66032.0,47814.0,45053.0,47370.0,44230.0,62255.0,35776.0,35695.0,43062.0,45744.0,48258.0,51510.0,66061.0,51100.0,50301.0,46757.0,45370.0,69402.0,27077.0,29250.0,47910.0,46939.0,53631.0,60883.0,65843.0,63824.0,53506.0,47059.0,51745.0,62907.0,40653.0,39723.0,49189.0,46476.0,59210.0,59915.0,66317.0,67739.0,50402.0,49597.0,57430.0,62100.0,43088.0,41305.0,49040.0,52701.0,59212.0,60614.0,70800.0,66489.0,56400.0,55407.0,55002.0,69394.0,44202.0,46461.0,49716.0,55915.0,65671.0,68596.0,76734.0,73932.0,59396.0,61261.0,57617.0,77600.0,47361.0,47717.0,57628.0,59592.0,70468.0,78886.0,76660.0,70491.0,59721.0,60660.0,60527.0,76902.0,44288.0,45644.0,58863.0,55791.0,70452.0,76689.0,77131.0,73440.0,58781.0,62560.0,61607.0,81986.0,50320.0,49192.0,61253.0,62628.0,82205.0,82885.0,87065.0,80330.0,61474.0,69635.0,65790.0,90366.0,50030.0,50559.0,59318.0,67835.0,81285.0,73379.0,90761.0,73537.0,61619.0,67404.0,66076.0,88963.0,49243.0,53531.0,71682.0,75450.0,86543.0,103415.0,102639.0,90952.0,79386.0,81504.0,70234.0,96849.0
