,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
Newfoundland and Labrador,531774.0,529574.0,527966.0,526732.0,525299.0,523235.0,522046.0,521581.0,521399.0,520228.0,519481.0,519458.0,519223.0,518813.0,518459.0,518786.0,518739.0,517940.0,517423.0,516906.0,516794.0,515358.0,514332.0,513740.0,512564.0,510961.0,510592.0,510329.0,510335.0,509131.0,509055.0,510262.0,511008.0,511253.0,511581.0,513437.0,514223.0,514719.0,516751.0,518985.0,520283.0,521204.0,522009.0,522865.0,523726.0,524239.0,524999.0,525936.0,526215.0,525655.0,526345.0,527180.0,527248.0,527313.0,527114.0,528117.0,528242.0,527498.0,528159.0,528461.0,528361.0,528063.0,528117.0,528696.0,528800.0,529063.0,529426.0,529900.0,529347.0,528544.0,528249.0,528288.0,527544.0,526395.0,525560.0,525765.0,524883.0,524126.0,523476.0,524137.0,523631.0,522994.0,522103.0,520998.0
Prince Edward Island,136442.0,136289.0,136470.0,136400.0,136377.0,136499.0,136665.0,136876.0,136858.0,136892.0,136880.0,137078.0,137077.0,137120.0,137227.0,137425.0,137510.0,137629.0,137680.0,137695.0,137689.0,137788.0,138064.0,138130.0,137907.0,137846.0,137867.0,137898.0,137778.0,137708.0,137711.0,138026.0,138000.0,138186.0,138749.0,139465.0,139136.0,139206.0,139891.0,140611.0,140612.0,140990.0,141654.0,142732.0,143020.0,143265.0,143963.0,144378.0,144310.0,144472.0,144530.0,144520.0,144175.0,143948.0,144094.0,144103.0,143996.0,143984.0,144283.0,144538.0,144368.0,144259.0,144546.0,144894.0,145202.0,145784.0,146969.0,147936.0,148181.0,148860.0,150402.0,151376.0,151516.0,152039.0,153396.0,155129.0,155244.0,155833.0,157262.0,158334.0,158629.0,159249.0,159625.0,159713.0
Nova Scotia,934594.0,934291.0,933821.0,934459.0,933463.0,932909.0,932494.0,933336.0,933773.0,934177.0,935179.0,935968.0,935509.0,935800.0,937717.0,938790.0,938997.0,938783.0,939664.0,939884.0,939215.0,937991.0,937926.0,938753.0,938117.0,937664.0,937882.0,937046.0,936203.0,934995.0,935115.0,935379.0,935475.0,935635.0,935897.0,937045.0,937382.0,937429.0,938208.0,940501.0,940823.0,940919.0,942107.0,944179.0,944068.0,943918.0,944274.0,945016.0,944307.0,943746.0,943635.0,943341.0,942598.0,941230.0,940434.0,940105.0,939867.0,938913.0,938545.0,938972.0,938296.0,936271.0,936525.0,938320.0,938690.0,940382.0,942790.0,946030.0,945943.0,947384.0,950108.0,953683.0,953838.0,954618.0,958406.0,963309.0,963890.0,965287.0,969747.0,975231.0,975898.0,977043.0,979351.0,979115.0
New Brunswick,750786.0,750543.0,750517.0,750252.0,749715.0,749789.0,749820.0,749295.0,748637.0,748777.0,749372.0,749408.0,749238.0,749265.0,749441.0,749463.0,749190.0,749336.0,749419.0,749243.0,749002.0,748693.0,748057.0,747672.0,746983.0,746337.0,745621.0,744975.0,744853.0,744938.0,745433.0,746138.0,746288.0,746533.0,746877.0,747769.0,748373.0,749161.0,749956.0,751066.0,751281.0,752021.0,753035.0,754287.0,754794.0,754841.0,755705.0,756420.0,757278.0,757270.0,758378.0,758673.0,758298.0,758132.0,758544.0,758670.0,759018.0,758876.0,758976.0,759524.0,759617.0,758948.0,758842.0,759778.0,760580.0,762289.0,763350.0,764844.0,764617.0,764813.0,766621.0,767935.0,768005.0,768522.0,770301.0,772524.0,772748.0,773805.0,776868.0,780154.0,780040.0,781024.0,781476.0,781315.0
Quebec,7340269.0,7347179.0,7356951.0,7368772.0,7373978.0,7383844.0,7396456.0,7411504.0,7417882.0,7428016.0,7441656.0,7455892.0,7461516.0,7471775.0,7485753.0,7503709.0,7510408.0,7520262.0,7535590.0,7553651.0,7559625.0,7567307.0,7581476.0,7598887.0,7604258.0,7615505.0,7631966.0,7653092.0,7661583.0,7674385.0,7692916.0,7713173.0,7725513.0,7740347.0,7761725.0,7786475.0,7799115.0,7817022.0,7843383.0,7871361.0,7885717.0,7903339.0,7929222.0,7955007.0,7967185.0,7982119.0,8005090.0,8021860.0,8029498.0,8039492.0,8061101.0,8078388.0,8082771.0,8090916.0,8110880.0,8124660.0,8125478.0,8132425.0,8150183.0,8165447.0,8163132.0,8163063.0,8175272.0,8190014.0,8193624.0,8204085.0,8225950.0,8249692.0,8257450.0,8272894.0,8302063.0,8336460.0,8350601.0,8367551.0,8401738.0,8433888.0,8446906.0,8465271.0,8501703.0,8540429.0,8556650.0,8572054.0,8574571.0,8575779.0
Ontario,11576994.0,11621255.0,11683290.0,11748348.0,11771945.0,11827345.0,11897534.0,11961789.0,11980361.0,12030408.0,12094174.0,12146053.0,12156750.0,12195501.0,12245039.0,12291669.0,12305320.0,12341656.0,12391421.0,12437664.0,12446466.0,12477967.0,12528663.0,12578931.0,12587531.0,12618444.0,12661878.0,12700994.0,12702838.0,12726728.0,12764806.0,12807208.0,12814446.0,12840272.0,12883583.0,12927148.0,12932234.0,12956332.0,12998345.0,13047485.0,13058435.0,13088106.0,13135778.0,13189339.0,13198650.0,13221999.0,13261381.0,13308659.0,13323332.0,13348263.0,13390632.0,13434943.0,13444704.0,13467829.0,13510781.0,13558528.0,13562583.0,13582747.0,13617553.0,13661314.0,13657737.0,13669860.0,13707118.0,13757688.0,13773629.0,13816545.0,13875394.0,13946431.0,13971785.0,14006386.0,14070141.0,14150783.0,14186830.0,14235643.0,14308697.0,14393683.0,14428712.0,14467162.0,14544718.0,14637880.0,14689075.0,14723497.0,14734014.0,14733119.0
Manitoba,1144428.0,1145873.0,1147313.0,1148183.0,1148456.0,1149684.0,1151454.0,1152150.0,1152837.0,1154737.0,1156680.0,1157298.0,1158369.0,1160863.0,1163596.0,1165530.0,1167656.0,1170347.0,1173238.0,1174675.0,1176051.0,1177285.0,1178264.0,1179086.0,1179920.0,1181635.0,1183562.0,1183981.0,1184503.0,1186430.0,1189451.0,1191690.0,1193408.0,1194662.0,1197775.0,1199548.0,1201702.0,1204014.0,1208556.0,1211875.0,1213933.0,1216610.0,1220780.0,1224662.0,1227212.0,1229063.0,1233649.0,1238019.0,1242141.0,1245692.0,1249975.0,1254178.0,1257940.0,1260834.0,1264620.0,1268428.0,1271562.0,1274407.0,1279014.0,1283366.0,1286453.0,1288094.0,1292227.0,1297329.0,1302544.0,1307689.0,1314139.0,1319911.0,1324129.0,1328412.0,1334790.0,1340565.0,1344418.0,1347055.0,1352825.0,1357879.0,1361632.0,1364223.0,1369540.0,1373574.0,1377004.0,1378818.0,1379263.0,1379584.0
Saskatchewan,1011141.0,1009177.0,1007565.0,1006027.0,1003469.0,1001643.0,1000239.0,999175.0,998681.0,997740.0,996807.0,996279.0,996241.0,995748.0,996386.0,996555.0,996558.0,997080.0,997283.0,996993.0,995900.0,994892.0,993500.0,993288.0,992237.0,991228.0,992314.0,993361.0,995174.0,997550.0,1002086.0,1007323.0,1010304.0,1013478.0,1017404.0,1022553.0,1025993.0,1029901.0,1034819.0,1039554.0,1042952.0,1046799.0,1051443.0,1056115.0,1058963.0,1061484.0,1066026.0,1070687.0,1074265.0,1077892.0,1083755.0,1088959.0,1091547.0,1094390.0,1099736.0,1103730.0,1106374.0,1109631.0,1112979.0,1116203.0,1118181.0,1118806.0,1120967.0,1124919.0,1127773.0,1131147.0,1135987.0,1140690.0,1143313.0,1146218.0,1150331.0,1154755.0,1156659.0,1158451.0,1161767.0,1165938.0,1168461.0,1169286.0,1172302.0,1176272.0,1179154.0,1179618.0,1178681.0,1177884.0
Alberta,2974517.0,2988465.0,3004198.0,3016947.0,3027941.0,3041238.0,3058108.0,3078336.0,3092107.0,3108360.0,3128429.0,3144926.0,3155103.0,3169049.0,3183065.0,3197858.0,3209372.0,3223490.0,3238668.0,3260590.0,3276797.0,3296271.0,3321768.0,3346754.0,3371823.0,3396802.0,3421434.0,3453944.0,3472771.0,3490842.0,3514147.0,3533413.0,3548796.0,3567458.0,3595856.0,3619292.0,3638482.0,3659228.0,3678996.0,3694303.0,3702266.0,3714974.0,3732082.0,3747226.0,3754424.0,3768773.0,3789030.0,3807726.0,3825072.0,3847722.0,3874548.0,3900333.0,3920499.0,3946798.0,3981011.0,4010903.0,4029951.0,4054280.0,4083648.0,4106056.0,4116047.0,4128300.0,4144491.0,4159519.0,4169830.0,4181765.0,4196061.0,4208958.0,4217855.0,4227969.0,4241100.0,4258195.0,4268853.0,4281706.0,4298275.0,4317453.0,4330698.0,4343951.0,4361694.0,4384968.0,4402045.0,4417006.0,4421876.0,4428112.0
British Columbia,4026664.0,4033319.0,4039230.0,4049297.0,4055229.0,4066132.0,4076950.0,4085648.0,4087191.0,4094236.0,4100564.0,4108400.0,4110242.0,4114925.0,4124482.0,4134638.0,4139946.0,4145951.0,4155651.0,4167810.0,4174018.0,4182963.0,4196062.0,4212666.0,4217962.0,4227986.0,4241794.0,4258655.0,4265321.0,4276743.0,4290984.0,4312042.0,4319652.0,4331699.0,4349336.0,4371124.0,4381829.0,4395190.0,4410506.0,4431576.0,4441329.0,4453744.0,4465546.0,4483609.0,4482260.0,4488508.0,4502104.0,4525684.0,4536084.0,4548438.0,4566769.0,4590545.0,4598255.0,4611648.0,4630077.0,4658875.0,4666788.0,4684490.0,4707103.0,4737725.0,4745468.0,4757759.0,4776388.0,4802955.0,4811465.0,4832155.0,4859250.0,4884002.0,4890848.0,4905210.0,4929384.0,4956550.0,4967421.0,4983183.0,5010476.0,5039661.0,5046576.0,5063527.0,5090955.0,5125659.0,5131575.0,5142404.0,5147712.0,5145851.0
