,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020
Final consumption expenditure,1000622.0,1009895.0,1020682.0,1023987.0,1033309.0,1038070.0,1040941.0,1050801.0,1064473.0,1075690.0,1080134.0,1090179.0,1096923.0,1104771.0,1112644.0,1115942.0,1128298.0,1131448.0,1141823.0,1150460.0,1160909.0,1169485.0,1177147.0,1188951.0,1202502.0,1213737.0,1224237.0,1235372.0,1243787.0,1259029.0,1272261.0,1289759.0,1300854.0,1310237.0,1311008.0,1304807.0,1301677.0,1311681.0,1322695.0,1331647.0,1345683.0,1353657.0,1362887.0,1374952.0,1377445.0,1383447.0,1389429.0,1396291.0,1402483.0,1402851.0,1411453.0,1416718.0,1419536.0,1427288.0,1436512.0,1445150.0,1449264.0,1457471.0,1465610.0,1472490.0,1479639.0,1485881.0,1496399.0,1503684.0,1508398.0,1517920.0,1525435.0,1534207.0,1550415.0,1565408.0,1578875.0,1589953.0,1600339.0,1610118.0,1617106.0,1623063.0,1631073.0,1635598.0,1644088.0,1652065.0,1619385.0,1445507.0,1588855.0
Household final consumption expenditure,692463.0,698483.0,707365.0,708579.0,714392.0,715537.0,717183.0,725892.0,736646.0,745602.0,747115.0,754630.0,758664.0,765296.0,772438.0,773882.0,784209.0,788114.0,795440.0,801861.0,813035.0,820058.0,825517.0,833352.0,845036.0,852667.0,862048.0,870951.0,878693.0,891981.0,900362.0,916872.0,924095.0,925145.0,925694.0,914495.0,911646.0,919610.0,929661.0,936029.0,946496.0,954546.0,962245.0,970991.0,972728.0,977054.0,981039.0,987066.0,992771.0,993919.0,1000006.0,1005516.0,1011863.0,1021213.0,1028792.0,1035215.0,1038695.0,1048213.0,1055843.0,1063496.0,1065536.0,1070760.0,1078753.0,1086341.0,1086985.0,1091277.0,1098903.0,1107216.0,1119347.0,1134136.0,1144486.0,1151676.0,1158983.0,1163013.0,1170868.0,1171250.0,1178644.0,1180681.0,1187205.0,1193017.0,1161807.0,1003640.0,1133623.0
Goods,319402.0,322149.0,327237.0,325135.0,328368.0,330294.0,328884.0,336059.0,343101.0,345676.0,345540.0,351845.0,353641.0,355520.0,358736.0,355349.0,361392.0,362738.0,365931.0,368885.0,372768.0,375141.0,375976.0,377292.0,383140.0,388693.0,394226.0,395552.0,399810.0,407646.0,409638.0,415291.0,421997.0,422752.0,422374.0,415667.0,413108.0,416138.0,420503.0,423230.0,427867.0,428353.0,433772.0,436881.0,434800.0,436110.0,438502.0,442076.0,443771.0,442589.0,444795.0,447377.0,450833.0,455691.0,460842.0,465008.0,465113.0,470166.0,473964.0,477111.0,476998.0,478812.0,484838.0,488782.0,490115.0,489652.0,490821.0,495745.0,503370.0,513363.0,515555.0,518528.0,522967.0,524572.0,528260.0,527114.0,530443.0,530615.0,531826.0,531501.0,519514.0,476633.0,557252.0
Durable goods,75200.0,76242.0,78544.0,75477.0,77508.0,78510.0,78103.0,82580.0,85049.0,85736.0,85344.0,87773.0,87785.0,88947.0,91191.0,87496.0,90004.0,90568.0,91370.0,92706.0,94130.0,95583.0,96272.0,96019.0,98772.0,100801.0,103624.0,104617.0,105131.0,109291.0,108601.0,111123.0,116500.0,116103.0,115392.0,109208.0,106398.0,109302.0,112943.0,115069.0,115189.0,114492.0,116832.0,118760.0,116545.0,117768.0,117678.0,120724.0,123226.0,120884.0,120710.0,121224.0,123803.0,127398.0,127956.0,127904.0,128929.0,133000.0,135684.0,135875.0,133366.0,135328.0,139200.0,141962.0,142690.0,141269.0,141449.0,144608.0,149665.0,153250.0,153812.0,154525.0,156410.0,156823.0,156595.0,156657.0,157868.0,156296.0,156468.0,155564.0,141682.0,121361.0,167480.0
Semi-durable goods,42298.0,42610.0,43663.0,43869.0,44315.0,45178.0,44748.0,45949.0,47055.0,47379.0,46997.0,47946.0,48777.0,49218.0,49430.0,49360.0,50559.0,50941.0,51769.0,51656.0,52925.0,53691.0,53656.0,54685.0,56621.0,57642.0,58453.0,58936.0,60428.0,60911.0,62167.0,62574.0,63268.0,64358.0,64827.0,64669.0,63603.0,63643.0,63837.0,63984.0,66945.0,66512.0,67894.0,68543.0,68621.0,68770.0,69588.0,70759.0,71412.0,70868.0,71903.0,72153.0,72818.0,72896.0,74642.0,75915.0,74887.0,76249.0,77115.0,77666.0,77858.0,78954.0,79475.0,80780.0,81102.0,80168.0,79975.0,80388.0,81721.0,83763.0,84495.0,85195.0,85976.0,85887.0,86803.0,86375.0,87142.0,88420.0,88764.0,88755.0,80488.0,69459.0,91614.0
Non-durable goods,207943.0,209213.0,210271.0,211938.0,212150.0,211676.0,211234.0,211490.0,214634.0,216219.0,217182.0,219790.0,220674.0,220637.0,221001.0,222199.0,224098.0,224362.0,225815.0,227572.0,228418.0,228214.0,228324.0,228783.0,229386.0,231729.0,233357.0,233003.0,235198.0,238130.0,239601.0,242241.0,242425.0,242412.0,242260.0,242108.0,243700.0,243661.0,244029.0,244406.0,245800.0,247530.0,249110.0,249565.0,249675.0,249591.0,251254.0,250592.0,249132.0,250838.0,252183.0,254000.0,254214.0,255401.0,258253.0,261195.0,261290.0,260999.0,261303.0,263693.0,265890.0,264639.0,266265.0,266142.0,266422.0,268341.0,269529.0,270839.0,272018.0,276380.0,277287.0,278854.0,280626.0,281892.0,284893.0,284106.0,285469.0,285981.0,286682.0,287262.0,297019.0,285354.0,297820.0
Services,372716.0,375987.0,379703.0,383228.0,385763.0,384866.0,388108.0,389397.0,392959.0,399447.0,401159.0,402154.0,404396.0,409242.0,413170.0,418294.0,422484.0,425075.0,429218.0,432682.0,440064.0,444774.0,449527.0,456229.0,462023.0,463944.0,467708.0,475431.0,478880.0,484240.0,490715.0,501643.0,502043.0,502329.0,503278.0,498819.0,498529.0,503462.0,509147.0,512788.0,518617.0,526178.0,528467.0,534100.0,537924.0,540944.0,542532.0,544983.0,548996.0,551332.0,555212.0,558140.0,561035.0,565534.0,567988.0,570269.0,573617.0,578096.0,581936.0,586435.0,588551.0,591942.0,594002.0,597671.0,597031.0,601679.0,608041.0,611480.0,616070.0,621007.0,629053.0,633260.0,636173.0,638590.0,642764.0,644238.0,648304.0,650134.0,655367.0,661369.0,642240.0,528578.0,579318.0
Non-profit institutions serving households' final consumption expenditure,19385.0,19520.0,19852.0,20331.0,20168.0,20384.0,20798.0,21248.0,21873.0,22719.0,22846.0,22937.0,22304.0,22235.0,21926.0,21389.0,21145.0,20778.0,21150.0,21538.0,22081.0,22362.0,22692.0,23043.0,23351.0,23426.0,23298.0,23325.0,22555.0,22739.0,22868.0,23424.0,24169.0,25055.0,25389.0,25462.0,25167.0,24349.0,23343.0,22915.0,23133.0,23429.0,23608.0,24302.0,24743.0,24983.0,25316.0,25308.0,25284.0,25541.0,25681.0,25706.0,26264.0,26428.0,26176.0,26040.0,25568.0,25760.0,26132.0,26588.0,26400.0,27044.0,27332.0,28168.0,29000.0,30024.0,30036.0,29688.0,29652.0,29644.0,29900.0,29996.0,30188.0,31816.0,29248.0,31820.0,31292.0,31588.0,31860.0,32056.0,31840.0,28024.0,29752.0
General governments final consumption expenditure,290253.0,293451.0,294821.0,296621.0,300418.0,304199.0,305065.0,305484.0,307604.0,308862.0,311908.0,314277.0,317724.0,318851.0,319677.0,322190.0,324271.0,323685.0,326346.0,328112.0,326357.0,327512.0,329367.0,333031.0,334368.0,337932.0,339026.0,341158.0,342521.0,344123.0,348920.0,349041.0,352166.0,359854.0,359725.0,364937.0,364979.0,367834.0,369790.0,372821.0,376161.0,375733.0,377064.0,379675.0,379986.0,381420.0,383086.0,383925.0,384431.0,383387.0,385762.0,385500.0,381463.0,379767.0,381670.0,384018.0,385121.0,383683.0,383860.0,382696.0,387912.0,388318.0,390569.0,389488.0,392681.0,396863.0,396786.0,397626.0,401743.0,402064.0,404948.0,408714.0,411597.0,415679.0,417441.0,420326.0,421506.0,423665.0,425376.0,427348.0,425788.0,412017.0,425273.0
Gross fixed capital formation,277347.0,279243.0,282596.0,283871.0,291601.0,295469.0,299090.0,291023.0,291761.0,295695.0,300323.0,301136.0,303844.0,306867.0,316518.0,323717.0,331286.0,336517.0,341414.0,347249.0,356674.0,365271.0,375143.0,383143.0,390194.0,393658.0,393575.0,395759.0,401474.0,404443.0,406121.0,410981.0,420386.0,417773.0,414173.0,397086.0,357087.0,355386.0,366529.0,383801.0,397336.0,405802.0,410414.0,417644.0,422078.0,425721.0,427425.0,431614.0,443581.0,448228.0,447594.0,450833.0,453316.0,453416.0,453908.0,455535.0,456586.0,460542.0,466863.0,473052.0,453116.0,440630.0,435014.0,431533.0,423015.0,419949.0,421165.0,414247.0,425595.0,429324.0,433223.0,446403.0,446552.0,447739.0,440635.0,431161.0,440943.0,438988.0,447382.0,443288.0,442774.0,381975.0,435642.0
