"NumDate","Year.Qtr","Year","Quarter","Alcohol.Sale.CAD","Alch.Growth.Pct","Tobacco.Sale.CAD","TBC.Growth.Pct","Annualized.GDP","GDP.Growth.Pct","CPI.2012"
"20000101","2000Q1",2000,"Q1",640505,NA,NA,NA,12809430,NA,78.39
"20000201","2000Q1",2000,"Q1",676644,5.64,NA,NA,12809430,0,78.39
"20000301","2000Q1",2000,"Q1",784825,15.99,NA,NA,12809430,0,78.39
"20000401","2000Q2",2000,"Q2",825994,5.25,NA,NA,12921580,0.88,78.39
"20000501","2000Q2",2000,"Q2",860298,4.15,NA,NA,12921580,0,78.39
"20000601","2000Q2",2000,"Q2",970522,12.81,NA,NA,12921580,0,78.39
"20000701","2000Q3",2000,"Q3",1054997,8.7,NA,NA,13063190,1.1,78.39
"20000801","2000Q3",2000,"Q3",1011993,-4.08,NA,NA,13063190,0,78.39
"20000901","2000Q3",2000,"Q3",957542,-5.38,NA,NA,13063190,0,78.39
"20001001","2000Q4",2000,"Q4",844802,-11.77,NA,NA,13108990,0.35,78.39
"20001101","2000Q4",2000,"Q4",889285,5.27,NA,NA,13108990,0,78.39
"20001201","2000Q4",2000,"Q4",1589726,78.76,NA,NA,13108990,0,78.39
"20010101","2001Q1",2001,"Q1",678540,-57.32,NA,NA,13278410,1.29,80.36
"20010201","2001Q1",2001,"Q1",711968,4.93,NA,NA,13278410,0,80.36
"20010301","2001Q1",2001,"Q1",861201,20.96,NA,NA,13278410,0,80.36
"20010401","2001Q2",2001,"Q2",837431,-2.76,NA,NA,13364150,0.65,80.36
"20010501","2001Q2",2001,"Q2",961605,14.83,NA,NA,13364150,0,80.36
"20010601","2001Q2",2001,"Q2",1065334,10.79,NA,NA,13364150,0,80.36
"20010701","2001Q3",2001,"Q3",1101483,3.39,NA,NA,13428140,0.48,80.36
"20010801","2001Q3",2001,"Q3",1172448,6.44,NA,NA,13428140,0,80.36
"20010901","2001Q3",2001,"Q3",979219,-16.48,NA,NA,13428140,0,80.36
"20011001","2001Q4",2001,"Q4",909109,-7.16,NA,NA,13450480,0.17,80.36
"20011101","2001Q4",2001,"Q4",1013917,11.53,NA,NA,13450480,0,80.36
"20011201","2001Q4",2001,"Q4",1600273,57.83,NA,NA,13450480,0,80.36
"20020101","2002Q1",2002,"Q1",770512,-51.85,NA,NA,13595920,1.08,82.17
