Province,PRUID,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020
Canada,,361.0,382.0,404.0,419.0,431.0,444.0,463.0,492.0,511.0,522.0,535.0,543.0,550.0,558.0,572.0,597.0,616.0,622.0,636.0,642.0,685.0
NL,10.0,,,,,,,,,,,,,,,,,,,,,
PE,11.0,,,,,,,,,,,,,,,,,,,,,
NS,12.0,,,,,,,,,,,,,,,,,,,,,
NB,13.0,,,,,,,,,,,,,,,,,,,,,
QC,24.0,,,,,268.0,290.0,303.0,323.0,338.0,349.0,369.0,374.0,384.0,396.0,401.0,419.0,424.0,415.0,431.0,443.0,467.0
ON,35.0,,,,,490.0,494.0,499.0,517.0,525.0,523.0,541.0,553.0,563.0,574.0,583.0,606.0,628.0,632.0,645.0,645.0,667.0
MB,46.0,,,,,434.0,439.0,466.0,491.0,518.0,537.0,537.0,547.0,570.0,581.0,592.0,607.0,608.0,612.0,616.0,603.0,648.0
SK,47.0,,,,,415.0,435.0,455.0,491.0,517.0,537.0,528.0,550.0,561.0,588.0,609.0,655.0,672.0,664.0,723.0,706.0,816.0
AB,48.0,,,,,416.0,428.0,487.0,537.0,575.0,601.0,591.0,602.0,582.0,581.0,618.0,642.0,658.0,651.0,633.0,646.0,721.0
BC,59.0,,,,,545.0,567.0,606.0,662.0,700.0,721.0,732.0,733.0,751.0,738.0,756.0,798.0,842.0,910.0,945.0,959.0,1042.0
YK,60.0,,,,,,,,,,,,,,,,,,,,,
NT,61.0,,,,,1392.0,1425.0,1420.0,1507.0,1595.0,1671.0,,,,,,,,,,,
NU,62.0,,,,,,,,,,,,,,,,,,,,,
